DATE, TIME, Temperature, Pressure, Humidity, Alititude, Ax, Ay, Az, Gx, Gy, Gz, roll, pitch, KalmanX, KalmanY, state
2026-07-10, 00:01:52, 22.57, 990.91, 44.91, 187.68, -0.00, -0.00, -1.00, 0.06, 0.12, 0.07, -0.08, 179.82, -0.08, -0.18, STABLE
2026-07-10, 00:01:54, 22.57, 990.91, 44.95, 187.65, 0.00, 0.00, -1.00, -0.12, 0.11, 0.04, 0.24, -179.84, 0.24, 0.16, STABLE
2026-07-10, 00:01:56, 22.56, 990.91, 45.30, 187.66, 0.00, -0.00, -1.00, 0.21, -0.08, 0.06, -0.16, -179.80, -0.16, 0.20, STABLE
2026-07-10, 00:01:59, 22.56, 990.92, 45.61, 187.62, 0.00, -0.00, -1.00, 0.17, 0.30, -0.11, -0.01, -179.80, -0.01, 0.20, STABLE
2026-07-10, 00:02:01, 22.56, 990.92, 46.01, 187.57, -0.00, 0.00, -1.01, -0.05, -0.01, 0.22, 0.15, 179.88, 0.15, -0.12, STABLE
2026-07-10, 00:02:03, 22.56, 990.92, 46.25, 187.58, 0.01, -0.00, -1.00, 0.15, 0.01, 0.21, -0.15, -179.66, -0.15, 0.34, STABLE
2026-07-10, 00:02:05, 22.55, 990.92, 46.15, 187.56, 0.00, -0.00, -1.00, 0.01, 0.06, -0.07, -0.02, -179.87, -0.02, 0.13, STABLE
2026-07-10, 00:02:08, 22.55, 990.93, 45.90, 187.51, -0.00, -0.00, -0.99, -0.05, 0.02, -0.05, -0.19, 179.99, -0.19, -0.01, STABLE
2026-07-10, 00:02:10, 22.55, 990.92, 45.61, 187.58, 0.01, 0.00, -1.00, -0.11, -0.06, 0.32, 0.26, -179.67, 0.26, 0.33, STABLE
2026-07-10, 00:02:12, 22.54, 990.91, 45.18, 187.66, 0.00, -0.00, -0.99, 0.02, 0.04, 0.11, -0.23, -179.84, -0.23, 0.16, STABLE
2026-07-10, 00:02:14, 22.54, 990.91, 44.97, 187.64, -0.00, 0.00, -1.00, 0.01, -0.13, 0.23, 0.03, 179.92, 0.03, -0.08, STABLE
2026-07-10, 00:02:17, 22.54, 990.91, 45.02, 187.65, 0.22, 0.11, -1.19, 8.42, -16.31, 80.55, 5.13, -169.52, 5.13, 10.48, MOVING
2026-07-10, 00:02:19, 22.54, 990.90, 45.26, 187.80, 0.15, -0.00, -1.01, -30.94, 4.67, 27.51, -0.03, -171.43, -0.03, 8.57, STABLE
2026-07-10, 00:02:21, 22.55, 990.85, 46.67, 188.20, 0.00, -0.01, -0.93, -0.42, 0.47, -0.28, -0.35, -179.70, -0.35, 0.30, STABLE
2026-07-10, 00:02:23, 22.56, 990.84, 46.51, 188.25, -0.01, -0.01, -1.00, -0.23, -0.05, 0.20, -0.57, 179.50, -0.57, -0.50, STABLE
2026-07-10, 00:02:26, 22.56, 990.84, 46.39, 188.24, 0.01, -0.01, -1.00, -0.40, 0.18, 0.06, -0.69, -179.66, -0.69, 0.34, STABLE
2026-07-10, 00:02:28, 22.56, 990.85, 46.48, 188.21, -0.00, -0.02, -1.00, -0.01, 0.03, 0.12, -1.14, 179.88, -1.14, -0.12, STABLE
2026-07-10, 00:02:30, 22.57, 990.85, 46.73, 188.18, 0.00, -0.02, -1.00, -0.02, 0.17, -0.05, -1.04, -179.84, -1.04, 0.16, STABLE
2026-07-10, 00:02:32, 22.58, 990.84, 46.78, 188.25, -0.00, -0.02, -1.00, -0.09, -0.08, 0.07, -0.93, 179.95, -0.93, -0.05, STABLE
